acronym,title,rank,url,source
AAAI,National Conference of the American Association for Artificial Intelligence,A*,https://aaai.org/conference/aaai/aaai-25/,aideadlines
ACL,Association for Computational Linguistics,A*,https://2024.aclweb.org/,aideadlines
ACMMM,ACM Multimedia,A*,https://www.acmmm.org/index.html,ddg
ASE,Automated Software Engineering Conference,A*,https://www.asecho.org/education-events/scientific-sessions/registration/,ddg
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*,https://www.asplos-conference.org/,ddg
CAV,Computer Aided Verification,A*,http://conferences.i-cav.org/2026/cfp/,ddg
CCS,ACM Conference on Computer and Communications Security,A*,https://www.sigsac.org/ccs/CCS2025/call-for-papers/,ddg
CHI,International Conference on Human Factors in Computing Systems,A*,https://chi2025.acm.org/,aideadlines
COLT,Conference on Learning Theory,A*,http://www.learningtheory.org/colt2020/,aideadlines
CRYPTO,Advances in Cryptology,A*,https://events.coinpedia.org/,ddg
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A*,https://cvpr.thecvf.com/Conferences/2025,aideadlines
DAC,Design Automation Conf,A*,https://dac.com/2026/attend/attend-dac,ddg
EC,ACM Conference on Economics and Computation,A*,https://www.sigecom.org/ec19/,ddg
ECCV,European Conference on Computer Vision,A*,https://eccv2024.ecva.net/,aideadlines
EMNLP,Empirical Methods in Natural Language Processing,A*,https://2024.emnlp.org/,aideadlines
EUROCRYPT,International Conference on the Theory and Application of Cryptographic Techniques,A*,https://eurocrypt.iacr.org/2025/,ddg
FOCS,IEEE Symposium on Foundations of Computer Science,A*,https://ieee-focs.org/,ddg
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",A*,https://conf.researchr.org/home/fse-2026,ddg
HPCA,International Symposium on High Performance Computer Architecture,A*,https://www.myhuiban.com/conference/321,ddg
HRI,ACM/IEEE International Conference on Human-Robot Interaction,A*,https://humanrobotinteraction.org/2024/,aideadlines
ICALP,International Colloquium on Automata Languages and Programming,A*,https://conferences.au.dk/icalp2025,ddg
ICAPS,International Conference on Automated Planning and Scheduling,A*,https://icaps24.icaps-conference.org/,aideadlines
ICCV,IEEE International Conference on Computer Vision,A*,http://iccv2023.thecvf.com/,aideadlines
ICDE,International Conference on Data Engineering,A*,https://icde.org/,ddg
